"","File.accession","Output.type","Experiment.accession","Experiment.target","Biological.replicate.s.","Size"
"12","ENCFF262EKX","IDR thresholded peaks","ENCSR000BMJ","BCL11A-human","2",15500
"25","ENCFF384KWP","IDR thresholded peaks","ENCSR000BIQ","SIX5-human","1, 2",59558
"36","ENCFF850UDK","replicated peaks","ENCSR130EML","H3K4ac-human","1, 2",666781
"49","ENCFF435DTC","IDR thresholded peaks","ENCSR000BMT","NANOG-human","1, 2",159686
"56","ENCFF338DRF","replicated peaks","ENCSR739BZR","H2BK15ac-human","1, 2",1592329
"66","ENCFF321WUL","replicated peaks","ENCSR675FLJ","H4K5ac-human","1, 2",636455
"74","ENCFF142NQQ","IDR thresholded peaks","ENCSR000ECF","RFX5-human","1, 2",42495
"88","ENCFF720XKL","IDR thresholded peaks","ENCSR000AQK","CHD1-human","1",205593
"100","ENCFF352KLD","IDR thresholded peaks","ENCSR000BQU","ATF2-human","1, 2",152345
"110","ENCFF471OCM","IDR thresholded peaks","ENCSR160ZLP","KDM5A-human","1, 2",69089
"114","ENCFF460LNS","IDR thresholded peaks","ENCSR000BSJ","MAX-human","1, 2",705302
"132","ENCFF428RHR","IDR thresholded peaks","ENCSR000BNS","FOSL1-human","1, 2",27030
"137","ENCFF590EPN","IDR thresholded peaks","ENCSR000BQG","SP2-human","1",43513
"150","ENCFF643SGX","replicated peaks","ENCSR442DGE","H3K79me1-human","1, 3",678272
"175","ENCFF467WAD","conservative IDR thresholded peaks","ENCSR000ATK","PHF8-human","1, 2",401351
"187","ENCFF338IDU","IDR thresholded peaks","ENCSR000AVA","CHD7-human","1, 2",126401
"201","ENCFF156JCN","conservative IDR thresholded peaks","ENCSR000EBO","SIN3A-human","1, 2",525459
"206","ENCFF791RRR","replicated peaks","ENCSR858BOF","H4K91ac-human","1, 2",1452773
"217","ENCFF270GMO","IDR thresholded peaks","ENCSR000EBY","MYC-human","1, 2",121063
"226","ENCFF847HXU","IDR thresholded peaks","ENCSR000BIP","BCL11A-human","1",20167
"234","ENCFF233GVJ","IDR thresholded peaks","ENCSR000ATS","SUZ12-human","1, 3",353990
"250","ENCFF886BPR","IDR thresholded peaks","ENCSR000BHO","TAF1-human","1, 2",486873
"256","ENCFF802HUU","IDR thresholded peaks","ENCSR000ATQ","HDAC6-human","1",3259
"267","ENCFF501VJW","IDR thresholded peaks","ENCSR000EUO","CTBP2-human","1, 2",139574
"270","ENCFF727RNJ","IDR thresholded peaks","ENCSR000EBR","MXI1-human","1, 2",133509
"281","ENCFF219XEX","IDR thresholded peaks","ENCSR000AUS","SIRT6-human","1",5663
"286","ENCFF885PQR","IDR thresholded peaks","ENCSR000BRY","TEAD4-human","1, 2",391520
"309","ENCFF100KKH","IDR thresholded peaks","ENCSR000BJA","EGR1-human","1, 2",200784
"323","ENCFF978KGB","IDR thresholded peaks","ENCSR000BSN","CREB1-human","1, 2",358032
"334","ENCFF817TGF","IDR thresholded peaks","ENCSR000ECB","TBP-human","1, 2",391698
"341","ENCFF378HMV","replicated peaks","ENCSR395USV","H3K9me3-human","1, 2",1260096
"352","ENCFF906FRY","replicated peaks","ENCSR161NON","H2BK5ac-human","1, 2",1339138
"356","ENCFF692RPA","IDR thresholded peaks","ENCSR000AMF","CTCF-human","1",1093090
"364","ENCFF225AMM","IDR thresholded peaks","ENCSR000EUQ","SUZ12-human","1, 2",78393
"382","ENCFF275AVS","IDR thresholded peaks","ENCSR000BLD","RAD21-human","2",1278712
"394","ENCFF648QJE","IDR thresholded peaks","ENCSR000BIV","SRF-human","1, 2",100209
"407","ENCFF443FKS","IDR thresholded peaks","ENCSR000BKP","JUND-human","1, 2",240753
