File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF104IDP	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				2	2_1							/files/ENCFF728FDB/, /files/ENCFF830BDG/, /files/ENCFF572GEP/	3377895	ENCODE Processing Pipeline	f5dd1d1eca57f1193d67ab1f2e24681d		https://www.encodeproject.org/files/ENCFF104IDP/@@download/ENCFF104IDP.bed.gz				released	s3://encode-public/2017/02/03/d25f33bd-f526-46e6-8811-9194f870276f/ENCFF104IDP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/03/d25f33bd-f526-46e6-8811-9194f870276f/ENCFF104IDP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length		extremely low read depth
ENCFF397EFT	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF235JKK/, /files/ENCFF104IDP/, /files/ENCFF151IYZ/	1819496	ENCODE Processing Pipeline	b53e9c9864947614ec715bc7fe2e2bc2		https://www.encodeproject.org/files/ENCFF397EFT/@@download/ENCFF397EFT.bed.gz				released	s3://encode-public/2017/02/03/d466491f-845e-47bd-b700-a4c2f32980d2/ENCFF397EFT.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/03/d466491f-845e-47bd-b700-a4c2f32980d2/ENCFF397EFT.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length		extremely low read depth
ENCFF151IYZ	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF169AXD/, /files/ENCFF728FDB/, /files/ENCFF830BDG/, /files/ENCFF572GEP/	4044411	ENCODE Processing Pipeline	d3fff079db379cf31186591facd129d3		https://www.encodeproject.org/files/ENCFF151IYZ/@@download/ENCFF151IYZ.bed.gz				released	s3://encode-public/2017/02/03/d5793066-2641-4b84-9b08-1841059feb23/ENCFF151IYZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/03/d5793066-2641-4b84-9b08-1841059feb23/ENCFF151IYZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length		extremely low read depth
ENCFF235JKK	bed narrowPeak	bed	narrowPeak	peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF169AXD/, /files/ENCFF728FDB/, /files/ENCFF572GEP/	4059854	ENCODE Processing Pipeline	ad3d44764171311556ea80c9b802c187		https://www.encodeproject.org/files/ENCFF235JKK/@@download/ENCFF235JKK.bed.gz				released	s3://encode-public/2017/02/03/d6b95746-c00f-49f0-9a64-dcff29301870/ENCFF235JKK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/02/03/d6b95746-c00f-49f0-9a64-dcff29301870/ENCFF235JKK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	low read length		extremely low read depth
ENCFF192GAX	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF181XEC/, /files/ENCFF668JFF/, /files/ENCFF888QMW/, /files/ENCFF356LFX/, /files/ENCFF176NNO/, /files/ENCFF957SWP/	1783280	ENCODE Processing Pipeline	e00f4731940abb3e0d422b6772ef8c48		https://www.encodeproject.org/files/ENCFF192GAX/@@download/ENCFF192GAX.bed.gz				released	s3://encode-public/2020/11/20/62d43e53-d2b6-4858-94c0-05816e8021c6/ENCFF192GAX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/20/62d43e53-d2b6-4858-94c0-05816e8021c6/ENCFF192GAX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		extremely low read depth
ENCFF257NOK	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF181XEC/, /files/ENCFF668JFF/, /files/ENCFF888QMW/, /files/ENCFF356LFX/, /files/ENCFF957SWP/	1307936	ENCODE Processing Pipeline	486cec2fb4fe74967dac9db1e601efc3		https://www.encodeproject.org/files/ENCFF257NOK/@@download/ENCFF257NOK.bed.gz				released	s3://encode-public/2020/11/20/858ffcae-ec73-4de0-8e83-f30d55598978/ENCFF257NOK.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/20/858ffcae-ec73-4de0-8e83-f30d55598978/ENCFF257NOK.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		extremely low read depth
ENCFF228IAJ	bed narrowPeak	bed	narrowPeak	pseudoreplicated peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				2	2_1							/files/ENCFF181XEC/, /files/ENCFF668JFF/, /files/ENCFF356LFX/, /files/ENCFF176NNO/, /files/ENCFF957SWP/	1813141	ENCODE Processing Pipeline	334463f92edc76c12935df789d86a44c		https://www.encodeproject.org/files/ENCFF228IAJ/@@download/ENCFF228IAJ.bed.gz				released	s3://encode-public/2020/11/20/38d4f36d-83a2-4291-bf7c-da95ff8cbbdc/ENCFF228IAJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/20/38d4f36d-83a2-4291-bf7c-da95ff8cbbdc/ENCFF228IAJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		extremely low read depth
ENCFF979ZEO	bed narrowPeak	bed	narrowPeak	replicated peaks	GRCh38	ENCSR038PFD	Histone ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										H3K18ac-human	DNA						2013-07-31	Roadmap				1, 2	1_1, 2_1							/files/ENCFF181XEC/, /files/ENCFF668JFF/, /files/ENCFF888QMW/, /files/ENCFF356LFX/, /files/ENCFF176NNO/, /files/ENCFF957SWP/	1706682	ENCODE Processing Pipeline	737c1f01e26bcc0363cec9029ca2f161		https://www.encodeproject.org/files/ENCFF979ZEO/@@download/ENCFF979ZEO.bed.gz				released	s3://encode-public/2020/11/20/2ac48e1f-f569-4c0e-b1e1-617edc91a34b/ENCFF979ZEO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/20/2ac48e1f-f569-4c0e-b1e1-617edc91a34b/ENCFF979ZEO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length		extremely low read depth
ENCFF087VWX	bed narrowPeak	bed	narrowPeak	pseudoreplicated IDR thresholded peaks	GRCh38	ENCSR000BMJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										BCL11A-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF419RSJ/, /files/ENCFF140VNN/	12735	ENCODE Processing Pipeline	4a4d2cc1b3a86636535051ef3b4f8242		https://www.encodeproject.org/files/ENCFF087VWX/@@download/ENCFF087VWX.bed.gz				released	s3://encode-public/2017/04/21/72e8dec0-f3f2-46e5-81f5-f921fda253aa/ENCFF087VWX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/21/72e8dec0-f3f2-46e5-81f5-f921fda253aa/ENCFF087VWX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
ENCFF140VNN	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	GRCh38	ENCSR000BMJ	TF ChIP-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens										BCL11A-human	DNA						2011-07-18	ENCODE		see document		2	2_1							/files/ENCFF948LKH/, /files/ENCFF974QRX/	3710816	ENCODE Processing Pipeline	5ab701c94372952011adf68b75319d04		https://www.encodeproject.org/files/ENCFF140VNN/@@download/ENCFF140VNN.bed.gz				released	s3://encode-public/2017/04/21/d6908495-8a2d-4e43-8ab2-ad09d31dc30c/ENCFF140VNN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2017/04/21/d6908495-8a2d-4e43-8ab2-ad09d31dc30c/ENCFF140VNN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE3 GRCh38	archived	mild to moderate bottlenecking, low read depth, low read length		
