"","DC1Only","DC2Only","Both"
"BCL11A_ENCFF262EKX",0.0379627791510573,-0.0756769259129967,0.0567628902046098
"SIX5_ENCFF384KWP",0.184571955393806,-1.25695473002944,1.27791192361082
"H3K4ac_ENCFF850UDK",-0.875607820051532,-1.53970249985977,2.39320891538784
"NANOG_ENCFF435DTC",0.290572468108474,-0.933706997330344,0.833957440164801
"H2BK15ac_ENCFF338DRF",-1.90108368636679,-0.192254768568177,1.64517975724485
"H4K5ac_ENCFF321WUL",-0.654680508205879,-2.8251232540875,3.67588434554358
"RFX5_ENCFF142NQQ",-0.0036577301860303,-0.0478427669456577,0.056667827931495
"CHD1_ENCFF720XKL",-0.101648799821497,-0.420192520373909,0.549942421518077
"ATF2_ENCFF352KLD",0.0356616431896188,-0.383463273366437,0.405370749907706
"KDM5A_ENCFF471OCM",-0.0368118944388739,-0.495024216907078,0.585559055664464
"MAX_ENCFF460LNS",-0.0404622770788072,-4.35809900444447,4.94203165189747
"FOSL1_ENCFF428RHR",-0.00257841502312525,-0.048891846476244,0.0570391369441354
"SP2_ENCFF590EPN",-0.00288566543719994,-0.124833481318146,0.142857104442825
"H3K79me1_ENCFF643SGX",-0.239233944102049,0.145789642644812,0.0154578295589567
"PHF8_ENCFF467WAD",-3.61563038436299,-40.7761629347577,48.6720495776776
"CHD7_ENCFF338IDU",0.448210644625796,-0.64627844117252,0.391570166235263
"SIN3A_ENCFF156JCN",-0.119397059633344,-3.7434799105736,4.30866180700163
"H4K91ac_ENCFF791RRR",-0.282297323941163,-0.625141128455159,0.916664211275836
"MYC_ENCFF270GMO",-0.0838436020246978,-0.75981142803036,0.91931770288768
"BCL11A_ENCFF847HXU",0.0647514806758953,-0.0855829488291841,0.0477976084866884
"SUZ12_ENCFF233GVJ",-0.0330804494967156,0.00290086732876958,0.0215878982983189
"TAF1_ENCFF886BPR",-0.22457154402704,-14.7441939608667,16.7856227252818
"HDAC6_ENCFF802HUU",-0.00232978144083032,-0.00913676787374195,0.0120478794587324
"CTBP2_ENCFF501VJW",-0.0216199374045256,-0.203938435679771,0.246086544920555
