"","BCL11A_ENCFF262EKX","SIX5_ENCFF384KWP","H3K4ac_ENCFF850UDK","NANOG_ENCFF435DTC","H2BK15ac_ENCFF338DRF","H4K5ac_ENCFF321WUL","RFX5_ENCFF142NQQ","CHD1_ENCFF720XKL","ATF2_ENCFF352KLD","KDM5A_ENCFF471OCM","MAX_ENCFF460LNS","FOSL1_ENCFF428RHR","SP2_ENCFF590EPN","H3K79me1_ENCFF643SGX","PHF8_ENCFF467WAD","CHD7_ENCFF338IDU","SIN3A_ENCFF156JCN","H4K91ac_ENCFF791RRR","MYC_ENCFF270GMO","BCL11A_ENCFF847HXU","SUZ12_ENCFF233GVJ","TAF1_ENCFF886BPR","HDAC6_ENCFF802HUU","CTBP2_ENCFF501VJW","MXI1_ENCFF727RNJ","SIRT6_ENCFF219XEX","TEAD4_ENCFF885PQR","EGR1_ENCFF100KKH","CREB1_ENCFF978KGB","TBP_ENCFF817TGF","H3K9me3_ENCFF378HMV","H2BK5ac_ENCFF906FRY","CTCF_ENCFF692RPA","SUZ12_ENCFF225AMM","RAD21_ENCFF275AVS","SRF_ENCFF648QJE","JUND_ENCFF443FKS","HDAC2_ENCFF486IQC","MAFK_ENCFF710YJK","H2AK5ac_ENCFF196WHY","H3K9me3_ENCFF038EDU","H4K20me1_ENCFF550YPD","USF1_ENCFF978MNS","SP4_ENCFF257FUV","ZNF143_ENCFF235ROG","CHD2_ENCFF726GBF","RAD21_ENCFF883FUW","YY1_ENCFF376FVJ","RXRA_ENCFF745EBL","SAP30_ENCFF043HXQ","MYC_ENCFF049SMR","JUN_ENCFF821GUI","GTF2F1_ENCFF138MYA","EZH2_ENCFF414CAB","ATF3_ENCFF440FTA","CEBPB_ENCFF823KCM","KDM4A_ENCFF021QGZ","REST_ENCFF738LQB","RBBP5_ENCFF610PCN","EP300_ENCFF583FUX","CHD1_ENCFF580FYL","TCF12_ENCFF959HJP","JUND_ENCFF287KKY","POU5F1_ENCFF383EYO","HDAC2_ENCFF923TXH","GABPA_ENCFF308NZT","NRF1_ENCFF414RES","H3K23me2_ENCFF046LUI","H3K27ac_ENCFF897KUI","H3K79me2_ENCFF963CTO","H3K56ac_ENCFF515SGL","BRCA1_ENCFF721TNS","USF2_ENCFF346KIW","H3K14ac_ENCFF905ECB","KDM1A_ENCFF759CSN","H2BK120ac_ENCFF988PKU","CBX8_ENCFF891TAW","ASH2L_ENCFF693FGQ","H2BK12ac_ENCFF127CIM","H3K4me1_ENCFF006PXB","SIN3A_ENCFF432EYM","SP1_ENCFF284JVS","E2F6_ENCFF174AVU","H2BK20ac_ENCFF964YDY","BACH1_ENCFF749UPP","REST_ENCFF649VNE","CBX5_ENCFF218OXB","H3K4me1_ENCFF711NNX","H3K23ac_ENCFF586YGU","H3K27me3_ENCFF974SXB","H3K9ac_ENCFF122DHO","H3K36me3_ENCFF710ULK","H3K27me3_ENCFF760MIC","H3K4me3_ENCFF458FVI","H3K36me3_ENCFF238MDY","H3K27me3_ENCFF596UYU","H3K9ac_ENCFF719SGF","EP300_ENCFF244VKF","POLR2A_ENCFF322DAE","CTCF_ENCFF023LAA","H3K36me3_ENCFF599IHW","POLR2AphosphoS5_ENCFF872MKT","H3K4me2_ENCFF551GTJ","H3K27ac_ENCFF520LUH","H3K4me3_ENCFF760ZNE"
"BCL11A_ENCFF262EKX",1,0.000891091154361033,0.029289585345034,0.274324594037195,-0.0114084502423472,0.0124556513275464,0.0179609329921864,0.0148116084154583,0.175395732778483,-0.0177286741682881,0.0277815131277426,0.0028098304240114,-0.0106445365997363,-0.0132444075334736,-0.0283320209126052,0.287458171970789,0.0166660328075898,0.0227092655021934,0.0147498906473781,0.516754770192948,-0.0176618937002732,0.0246949304889927,0.135187799572883,0.0873288342931145,0.0115791688708058,0.0365929146745082,0.164971922912473,0.0862981757810006,0.0303930587499958,0.0274833693785386,-0.0123387210597457,0.0297274962706108,-0.0339358786751273,-0.0045861622126694,0.0355545912528988,0.0287878202743105,0.148278770145426,0.0900966924993263,0.0675688926152522,0.0543690444419226,-0.00656068865311896,-0.00779763173589125,0.0305825613441805,0.0403535658573454,-0.0018889814213356,0.0946048671306663,0.00352133602843659,0.0850648612577698,0.143990676907474,-0.00764002623075527,NA,0.112513575707703,0.0179140629342713,-0.0131728705807855,0.00532021106506561,0.0796285197446697,-0.0392027842180059,0.0568229028938929,0.0222238975813577,0.096754520846238,0.00864383399088809,0.224037131277148,0.0998021569783975,0.315567059677473,0.209942814626918,-0.0093031454005387,-0.0103145481573459,-0.0190328691997515,0.0790203203484519,-0.0121599998168554,0.0164451063678953,0.000950812679679493,0.0052036434592456,0.0171007293958605,0.0609788735431823,0.0650944930716453,-0.00804991957418605,0.0561822680016492,0.047857913677356,0.0242453868233054,0.0397757495412578,0.181493680282194,-0.00467374784404553,0.0503348469171435,0.0157548990325861,-0.00752427259994941,-0.0018759310564233,0.0106883429124511,0.00477145141367803,-0.00886366815104992,-0.00909645910200754,-0.00337976161164948,0.00609703086383855,0.0225369629902158,-0.00702998629972446,0.00762550173168122,-0.00365598342054933,0.237316792197594,0.025060182941286,-0.0323271577273083,0.00366586319913659,0.0563857610947994,0.044602811866038,0.0576108865230726,-0.0257368119827995
"SIX5_ENCFF384KWP",0.000891091154361033,1,0.092692105697387,0.064128369425119,0.0477175657567786,0.18751019320528,0.0442469573694947,0.118454369370551,0.144025452507412,0.274405958763726,0.172883455553349,0.0573613864875763,0.100252470701985,0.0337016723641145,0.275766309622846,0.0122003356386955,0.235494960890178,0.102850671121357,0.183577854927781,-0.00296666631356832,-0.0382795028969269,0.255240787896302,0.0107292932982334,0.0475159732844063,0.192720870391458,0.0269401531589781,0.0967205006734577,0.157535889312161,0.269364366591863,0.248151644686823,-0.0057367789277492,0.174286911409036,-0.00525755952618089,-0.0197734253480215,0.00160285775093826,0.222613648190976,0.177537345212139,0.16813710190823,0.0383166018930433,0.0267318703713691,-0.00988095645910418,-0.0138803608592223,0.167670422461726,0.209375353482547,0.247958516160422,0.253744948751721,-0.00931875110097318,0.204221473314031,0.0321824376821273,0.235993424550449,NA,0.066413226511622,0.159382302398952,-0.0407458647297568,0.221356014550785,0.0768018025819503,0.20650007300283,0.0871293591791233,0.159367470844319,0.0411089959206451,0.178640911109589,0.0954529700377681,0.162104131821121,0.0150662344896478,0.0845842777268001,0.182914487614895,0.163521748823177,0.13548345427344,0.183160862934814,0.0669993310806228,0.200027950582,0.185385117861919,0.141680940490864,0.0365581594892606,0.051518630500519,0.0556211775393541,-0.0147363565802415,0.194465943555857,0.068950552952746,-0.0406776450803898,0.228798930512884,0.222900035163926,0.140578543730108,-0.0144201967984736,0.0983323296521408,0.0827746160096637,-0.00373774526273885,-0.0610893919236736,-2.14685238136015e-05,-0.0611781673474154,0.254404302316076,-0.00296800579066499,-0.0601414416446398,0.173822081771459,-0.0163963019358774,-0.0557010101083264,0.24599351799535,0.156058755967201,0.238210806531177,0.00924525032315726,-0.0105636108144755,0.245053993799838,0.150733607484951,0.229980596467748,0.196423152317374
"H3K4ac_ENCFF850UDK",0.029289585345034,0.092692105697387,1,0.0964238128621699,0.27957324894076,0.471690776701587,0.0667064490750142,0.233546114975139,0.146988002479587,0.153830401339504,0.236527413004484,0.070823384081486,0.0996795999876399,0.0758262871773458,0.290205382167074,0.0467109503365861,0.217687890887792,0.478937965950751,0.205926178008404,0.0217315722332551,-0.01776405684095,0.308138230238675,0.0080029007795617,0.103627827456165,0.154756556461957,0.0413425837301019,0.115329459519878,0.169046610641241,0.201927699619041,0.275228263572957,-0.0388772460261097,0.403449329404994,-0.0108294283130792,-0.032305656047389,0.0280326871961296,0.113082024721054,0.205575412336993,0.182671049833373,0.0694673387585777,0.333223484238316,-0.0199385119440593,0.020590659109822,0.162931322761852,0.188986820705047,0.069961354267455,0.188282428394934,-0.00820174472268279,0.174898331245425,0.0629491617026161,0.182875024303166,NA,0.0742946210945458,0.199168559845709,-0.0277067170935043,0.119906688425049,0.0851261671217038,0.207247794381116,0.10079470771789,0.234595672475261,0.066598364073022,0.143761772060392,0.111780652162502,0.12770236379891,0.0445025301521945,0.132317741232294,0.122529892574652,0.163519657047226,0.253532718391637,0.395362075152467,0.126904313761316,0.445800868064936,0.0986413219913137,0.142256660901526,0.18870898683742,0.110913079182727,0.432777632548585,-0.0279473453065318,0.259295273630642,0.345776752810615,0.19569339821891,0.196356692512599,0.2114971927438,0.217780882023595,0.265362149696048,0.165403963730701,0.0572079880838546,-0.00812779450808722,0.158676694399777,0.0988122833327938,-0.0503699743340226,0.338968380610773,-0.0101092787037364,-0.0623535182911058,0.263410822714441,-0.0188885425869961,-0.0641591276631758,0.355969389440501,0.174764115587584,0.314909252005627,0.00397955452114016,0.00417545546637462,0.291611214316325,0.275174298803071,0.39461081477078,0.271103836523277
"NANOG_ENCFF435DTC",0.274324594037195,0.064128369425119,0.0964238128621699,1,0.0141979387824201,0.0957747715903223,0.0479184212781514,0.0707358513063991,0.207767750099521,0.0561132522089374,0.13328888049251,0.0603226332356674,0.0462093638434259,-0.0236288641108577,0.0557679191491779,0.315354874898691,0.125849055351463,0.0962182054939969,0.108867257759682,0.288070026700878,-0.023684072102741,0.134122685958518,0.0742168477345673,0.166278765544847,0.0902462029687409,0.0294678491986945,0.239120947279853,0.173768349893251,0.14563713865426,0.136411044536115,-0.0232534450400645,0.10629585984255,0.0282847793962473,-0.010333813562652,0.109850294594269,0.117994980066518,0.227163225980305,0.157121850693677,0.0981321307015912,0.0956929697670041,-0.0123592116280301,-0.0208610004902728,0.106294996013579,0.116553040103051,0.0818172943467835,0.15661944150511,0.0628179235018107,0.209920480177484,0.195384435931021,0.063251332366671,NA,0.136944097265501,0.102265728384423,-0.018618131324252,0.0768841131518175,0.129815847222673,0.0309448081616683,0.0894486891152376,0.0988444645565545,0.0897417051722196,0.0481408985884857,0.329446107935717,0.159752498158008,0.358207862606136,0.291948477558837,0.0636637394734503,0.0436402864669012,0.0440512698461298,0.192077175526466,0.000717995875187282,0.09767416243495,0.0461932355997789,0.0687870473730173,0.0309014801520424,0.117830552631303,0.141583151857181,-0.0151789807569396,0.151592082834274,0.108449170745284,0.0517228900350971,0.123786938154465,0.310037516054598,0.0765918932581687,0.094767833015604,0.0877742540965147,0.0207795614163489,-0.00151818332136996,0.0282633379796026,0.0219307725985,-0.0203805550443737,0.061803608362849,-0.0158821772179206,-0.00845995485654252,0.104357372955221,-0.0288493923665391,0.00255012289713259,0.0751508505554327,0.356956362398233,0.117912183483453,0.0340784209771217,-0.0250613893518789,0.142567813216606,0.145140257167049,0.144973201672857,0.0554982918089312
"H2BK15ac_ENCFF338DRF",-0.0114084502423472,0.0477175657567786,0.27957324894076,0.0141979387824201,1,0.234313008795027,0.0315605097150772,0.0570668793229134,0.0503136223741814,0.036776243870329,0.151676535497522,0.0250392208914873,0.0233266651175719,0.0590088634683074,0.104288947885632,-0.0313572410022648,0.107467991209824,0.359366387701328,0.0939117236718268,-0.0270085542151979,0.0290838096855762,0.127601580054098,-0.00251076526909671,0.0766969150112226,0.0661922302797603,0.000885126376400191,0.0599324275457028,0.075534688872437,0.102804848346797,0.106722625216389,-0.0328802352038981,0.251922579489495,0.0579676595959767,0.00357286697708708,0.0615231526014148,0.0364643719259023,0.0876737753654562,0.0845315697958227,0.0320083354299431,0.274984284540321,-0.0186821157311083,0.020093328234128,0.0963976076606735,0.0885747551756993,0.0757636146140865,0.0755519146919477,0.0508681960039862,0.0787306227655647,0.0287107900849267,0.0707279198745234,NA,0.0394309000022877,0.0652359891050581,0.028496702757648,0.0531786537682831,0.0422751355743885,0.105895491773886,0.0351025759789518,0.109097278007037,0.0344947147475752,0.0356063165988453,0.0500517114702929,0.0676420201727213,-0.0197194518884594,0.0507715827526491,0.0813714378009157,0.0560681643918593,0.177330005055139,0.140968934661517,0.0130736063126555,0.178627074912953,0.035143116983971,0.0787663447970972,0.0727401126782782,0.0916846292954559,0.27181390438592,-0.00816746379476962,0.12133816486589,0.322239845133774,0.290977973501739,0.0717195710646429,0.0907091078338326,0.138723314391124,0.33791893032391,0.0891363025832519,0.00718238734683942,-0.00952783399006324,0.251374696451096,0.0474872436308688,0.0517631887009344,0.122631956857265,-0.0297073308311202,0.0310457222144488,0.126246298097691,-0.0502374626088051,0.0255072750511884,0.142696592143109,0.0676255523952544,0.111708299502568,0.0632887020428044,-0.0409645166608308,0.0910880364593716,0.144643773211406,0.132082823983549,0.130000422500005
"H4K5ac_ENCFF321WUL",0.0124556513275464,0.18751019320528,0.471690776701587,0.0957747715903223,0.234313008795027,1,0.0856407247065952,0.288752463307708,0.203988905863666,0.271120443066495,0.341708812403244,0.0963691867718834,0.157894280613353,0.0561835561755601,0.472199127803227,0.038658418175548,0.332838618027871,0.499463288857421,0.2602077194001,0.00545949111688458,-0.033230726838329,0.471772097335532,0.0130204920490277,0.123407604015798,0.230209476338171,0.0428779332732708,0.152205465757038,0.245234766586194,0.327948042951625,0.429864701299567,-0.0440176689644878,0.471468644433935,0.014706255991445,-0.0467668829193123,0.0589041384217596,0.190388483661152,0.276089094794461,0.285928516569832,0.0695235486509467,0.236980639410456,-0.0252574551622194,-0.0302544617794622,0.22190078051102,0.275947033553582,0.128612594230255,0.278920460453796,0.0110730268442391,0.265496879883157,0.0570484652078051,0.267719506786152,NA,0.0982883439479937,0.269774464214153,-0.0491271719549461,0.197045659917321,0.121164434351487,0.352206188828322,0.128698084402743,0.367097357685834,0.0847853130664355,0.165254157855263,0.125355802889272,0.171591043057875,0.0314092446997665,0.177067861027126,0.191964426058555,0.257855040418692,0.320436544699859,0.526286408125644,0.125995326254032,0.562121981781902,0.154809643749733,0.194055425755951,0.180845441149827,0.142523803420493,0.39656869229365,-0.0394520209913105,0.406087339843232,0.336809542101208,0.134342483587134,0.295443346540741,0.290242564506991,0.304282980608518,0.189750828722207,0.214060594126122,0.0825039398325116,-0.00963105385337761,0.102540870044115,0.0940043252070939,-0.0982986959905198,0.495577159584528,-0.0193963184631745,-0.108290683496916,0.379076723750485,-0.0373467350114015,-0.112256451658532,0.5228380176145,0.215662522192662,0.47652430927478,0.0278154617887442,-0.0210088063671677,0.432439157964181,0.36924131645289,0.519992793189583,0.40252885750038
"RFX5_ENCFF142NQQ",0.0179609329921864,0.0442469573694947,0.0667064490750142,0.0479184212781514,0.0315605097150772,0.0856407247065952,1,0.0747086897854929,0.114285847384791,0.0828862346996092,0.110995140408656,0.038313649565124,0.0805748701904831,-0.000805127565554557,0.117075126247654,0.0256793244631534,0.135271824097923,0.0549673339744872,0.104997771064191,0.0077572739750912,-0.001445175766628,0.124772237042769,0.00874432512356611,0.0579627957156343,0.133798032913782,0.0221772466569475,0.0701411165028586,0.0992646762630002,0.142829249889717,0.132391709282545,-0.0035394131214874,0.0856841036599751,0.0304764081541606,-0.00325238788210716,0.0504878533678428,0.0807728370226009,0.128319319671065,0.0937561086966712,0.0469149746926299,0.0308965768277106,0.00082152310082963,0.00429521146354025,0.0797409037434653,0.13518777415117,0.0840451620886991,0.156387370113826,0.0465068469881826,0.10210743449149,0.0603245316444435,0.0986877043653435,NA,0.0778711393922083,0.11586064113482,-0.00518488396176213,0.0682137759514234,0.0632152640354781,0.0947734973999016,0.0657708076149631,0.0850258311281582,0.0491557070956051,0.0504581971445932,0.0637974535768215,0.114079565486311,0.0213557643691962,0.0647243648828686,0.0693023923380629,0.0845835572568894,0.0755361656126962,0.0853617957910838,0.0164184314441274,0.0980506900157001,0.0793025537486686,0.0771630300107106,0.0123020804405881,0.0383795791479802,0.0444276619480176,-0.00865265624257173,0.104333720612293,0.0548668569082569,0.0152740827099675,0.123112376959701,0.157690949498265,0.0902573643043216,0.00811642455759524,0.073498829725699,0.0377784075099101,-0.00246572811517308,-0.00928488271323756,0.0227224509729358,-0.0102498867726928,0.107076083526493,-0.00627967086870182,-0.0134954014778471,0.0920294075892918,-0.00802965515286559,-0.0128739967010928,0.111149338148257,0.110031420162527,0.111229192503948,0.0355570123611686,-0.00600438258561599,0.106809745752341,0.0778000661509065,0.108246860507355,0.0980627211921444
"CHD1_ENCFF720XKL",0.0148116084154583,0.118454369370551,0.233546114975139,0.0707358513063991,0.0570668793229134,0.288752463307708,0.0747086897854929,1,0.189653438367451,0.235477038598964,0.222546295507663,0.0747370751088109,0.125192215017682,0.044433421841839,0.359507741669759,0.0728878903672841,0.268642812661751,0.21810500404256,0.193329530595117,0.00487117875463613,0.0822008332793479,0.350402116417324,0.0247548439422236,0.116390635787133,0.175165366725521,0.09663971177012,0.116819962972457,0.19994836626215,0.237580129399653,0.35308601264053,-0.0318325131237559,0.268272377819844,-0.00161975250581762,0.0270969885717658,0.0309657754161233,0.144603517542908,0.211125615231372,0.210611281976057,0.0669803744610533,0.107810507341212,-0.014158420969455,0.0459640811305695,0.129939789754411,0.221800539939799,0.075027987339033,0.218994927428479,0.000432752276557928,0.222359000562354,0.0336820052846421,0.260739032799244,NA,0.0631248029776993,0.271574956595589,0.0549319020961086,0.117777642158983,0.10723261376373,0.285754693355937,0.149301535972554,0.291359238248658,0.0656073906911549,0.238916620772558,0.0847938891557174,0.127315692007807,0.032360770276169,0.112977946722507,0.127179965866004,0.18938906382888,0.26151471801874,0.317552040823255,0.189494220007482,0.379558453374461,0.131946391029792,0.127435539570623,0.139782454510466,0.065924030380689,0.162471562551856,0.0221234080872282,0.305455049539019,0.159294891748319,-0.0294734315534837,0.269698291582953,0.198062806821229,0.208722085552245,0.0104985637216366,0.137770640424311,0.0836232375983009,-0.00589296001397415,-0.0656602751972989,0.0852043591382534,-0.00318662322563284,0.406418312414147,0.0252849054305701,0.00565539190206562,0.307796023883405,0.0250131267096633,-0.0189508733249775,0.393513636483859,0.147724016827983,0.357893516556922,0.00798058720728977,0.0388502932365997,0.355804057759689,0.268458114047166,0.365526558907503,0.342548824865435
"ATF2_ENCFF352KLD",0.175395732778483,0.144025452507412,0.146988002479587,0.207767750099521,0.0503136223741814,0.203988905863666,0.114285847384791,0.189653438367451,1,0.193803070691257,0.225239368525384,0.0810415935518023,0.104709294222416,0.00315402764644616,0.211109516317692,0.205509560699627,0.248413487007193,0.149403962857837,0.2089724674234,0.168362001626509,-0.0333732210798426,0.261289336341605,0.0849537783618942,0.135129364888105,0.201866862661069,0.108793610274701,0.26080591899278,0.211260869633618,0.31035664397078,0.275757511279109,-0.0247435145177768,0.216933225111619,0.0675714065686058,-0.0233276750648295,0.115968962953316,0.192127458397634,0.326223561502292,0.219924331651783,0.151243703012772,0.104827855241738,-0.0126848823897122,0.00934113183111719,0.169963814923779,0.284304737394185,0.166712762982785,0.275390672664067,0.0890191010103274,0.252368194627921,0.151514802137469,0.183965656088643,NA,0.245946937427708,0.235549925623395,-0.0406970207859439,0.180966501412864,0.20004340200192,0.138512223736766,0.154260379118921,0.193270340005336,0.109124191384207,0.139448995831124,0.235152515972992,0.31649739196025,0.190579597708964,0.230555448157708,0.127372536398052,0.154204033860921,0.121976511766726,0.247252039161628,0.0603016531870577,0.222988859442039,0.18034262935262,0.152914874018984,0.0754044067510631,0.136157135369392,0.143410014501162,-0.0213565136875327,0.237020228394338,0.144084496295394,0.0157206776107154,0.238213288114829,0.31864751712965,0.163626043627097,0.0605004372241557,0.1605133683348,0.112576312172561,0.00177948898095348,-0.0209791610463865,0.0410467262249766,-0.0599075432365016,0.221792110867435,0.0204829576019677,-0.0580738340397517,0.17618622505871,0.0120177566217603,-0.0486426436480831,0.231667194135505,0.29480932740144,0.272451132226341,0.070745460803815,0.0263629604116729,0.296482252993776,0.168957681880345,0.2888077289062,0.167513842664654
"KDM5A_ENCFF471OCM",-0.0177286741682881,0.274405958763726,0.153830401339504,0.0561132522089374,0.036776243870329,0.271120443066495,0.0828862346996092,0.235477038598964,0.193803070691257,1,0.230729468032316,0.0918682878852135,0.186568006940132,0.0671839390153869,0.376596646641558,-0.00114513381547568,0.303534547119501,0.151508754129184,0.246162573060806,-0.0208541107413228,-0.0494333716681196,0.330083870769098,0.00677472470995818,0.034960016832296,0.282296799210465,0.0309906383978717,0.101905144607742,0.196645061453985,0.321932652223352,0.3471455706394,-0.0229711309901812,0.255495063986634,0.0357470946212857,-0.0194385140242766,0.0370933835510424,0.341879110564589,0.214532214676591,0.252681111662504,0.0350485891170671,0.0393312906455669,-0.013618853322092,0.00366677484770831,0.174384135151685,0.286409400153181,0.163856422103262,0.286648699884769,0.0241033826028486,0.273716846346427,0.0366149584069908,0.307439121609354,NA,0.0771225268362924,0.282867139004186,-0.0501728339195954,0.280888725172172,0.103550236230685,0.284483041895637,0.1256708623235,0.266137883159044,0.072366412477514,0.123617871950659,0.0750641134655598,0.171389111969786,-0.001637198518845,0.0940121191231779,0.256931017682712,0.216927205083223,0.184783726665253,0.237939643270006,0.167078121483171,0.317166543321288,0.218898535377986,0.174005968525831,0.0632485653122218,0.0413763832642661,0.0574679431106913,-0.017287583662963,0.278545062226055,0.0806101912567693,-0.0675508721082622,0.310716656406994,0.244271639569618,0.192436436994157,-0.0417189278835244,0.123434972266133,0.0970985778675937,-0.00429636365235034,-0.0949136965802617,0.0236433227893968,-0.0769256340896248,0.358103004945948,-0.0116111039495789,-0.0744587884914905,0.22417207692547,-0.0195180175465493,-0.064042266207172,0.343055777732867,0.162774658620706,0.337155535081205,0.0501744394663665,-0.0175406423221033,0.350060848570038,0.189161778524423,0.341923207260071,0.261854033998644
