"","DC1Only","DC2Only","Both"
"BCL11A_ENCFF262EKX",0.040402511785025,-0.0805404124626413,0.0604108390304706
"SIX5_ENCFF384KWP",0.0369679243005835,-0.251755512964285,0.255953030101795
"H3K4ac_ENCFF850UDK",-0.0872434347909183,-0.153412214427259,0.238453518994834
"NANOG_ENCFF435DTC",0.0625299095841905,-0.200929614912438,0.179463951523104
"H2BK15ac_ENCFF338DRF",-0.110574620097771,-0.011182305202481,0.0956902255037262
"H4K5ac_ENCFF321WUL",-0.0665189024812819,-0.287047034211001,0.373488731142719
"RFX5_ENCFF142NQQ",-0.00765048530347187,-0.100067628496246,0.118526070191112
"CHD1_ENCFF720XKL",-0.0481161885881903,-0.198901143832121,0.2603191903188
"ATF2_ENCFF352KLD",0.0230458287250198,-0.247807675976942,0.26196507050537
"KDM5A_ENCFF471OCM",-0.020014402899151,-0.269141653072665,0.318364893737685
"MAX_ENCFF460LNS",-0.00336425215412277,-0.362355878662645,0.410907191363861
"FOSL1_ENCFF428RHR",-0.00565688269679391,-0.107265679832464,0.125140329980021
"SP2_ENCFF590EPN",-0.00356240270826362,-0.154109040568908,0.176359507655065
"H3K79me1_ENCFF643SGX",-0.0701146311632021,0.0427279960618619,0.0045303772513468
"PHF8_ENCFF467WAD",-0.0361563038436299,-0.407761629347577,0.486720495776776
"CHD7_ENCFF338IDU",0.10282516859487,-0.148264416451499,0.089831129275114
"SIN3A_ENCFF156JCN",-0.0114879435471109,-0.360183793591539,0.414563505620905
"H4K91ac_ENCFF791RRR",-0.079011287243553,-0.174968733598141,0.256562188730118
"MYC_ENCFF270GMO",-0.0278084287658661,-0.252006849200601,0.304910335870602
"BCL11A_ENCFF847HXU",0.0641269375358894,-0.0847574813180969,0.0473365893999054
"SUZ12_ENCFF233GVJ",-0.0444865178764235,0.00390108019213141,0.0290313595544681
"TAF1_ENCFF886BPR",-0.0063817748404615,-0.418993984611931,0.47700640459053
"HDAC6_ENCFF802HUU",-0.00790935031128633,-0.0310183163793152,0.040901218233288
"CTBP2_ENCFF501VJW",-0.0159073781062846,-0.150052506908889,0.181063970892952
"MXI1_ENCFF727RNJ",-0.0126864907741894,-0.264173517690753,0.307259431051361
"SIRT6_ENCFF219XEX",-0.014405604516529,-0.0410658101043089,0.0571062542649884
"TEAD4_ENCFF885PQR",0.0890264996701895,-0.268180632872906,0.235346635064471
"EGR1_ENCFF100KKH",-0.00787643522652478,-0.284685230753454,0.326762010097399
"CREB1_ENCFF978KGB",0.00413110426809025,-0.395084304606807,0.442160365605031
"TBP_ENCFF817TGF",-0.0134096090317445,-0.411787420343675,0.474165357361887
"H3K9me3_ENCFF378HMV",-0.00830422085890641,0.0315596303395652,-0.0293281337618413
"H2BK5ac_ENCFF906FRY",-0.051009307314009,-0.238272323419311,0.306864900056751
"CTCF_ENCFF692RPA",0.062086962886999,-0.18059957938062,0.156884605710041
"SUZ12_ENCFF225AMM",-0.0252261559024865,0.0484922933854887,-0.0356960113052067
"RAD21_ENCFF275AVS",0.0805658309376985,-0.229390944025598,0.197987699934537
"SRF_ENCFF648QJE",0.000207154826331843,-0.214731455559199,0.24184915607902
"JUND_ENCFF443FKS",0.00244415660229251,-0.307911211494588,0.345182889844327
"HDAC2_ENCFF486IQC",-0.0112098381270035,-0.307903326120491,0.3554338454411
"MAFK_ENCFF710YJK",0.023940777945589,-0.0998322836150633,0.0945226244516764
"H2AK5ac_ENCFF196WHY",-0.0691897895750549,-0.00746411406244649,0.0604025200035692
"H3K9me3_ENCFF038EDU",0.00700008242167034,0.0122369375012179,-0.0190511493448605
"H4K20me1_ENCFF550YPD",-0.100423304946846,0.0996385746428799,-0.0368340482463479
"USF1_ENCFF978MNS",0.00823478720844182,-0.231344915700033,0.254540617689999
"SP4_ENCFF257FUV",-0.0278200887144398,-0.269132090623631,0.324219441049454
"ZNF143_ENCFF235ROG",0.0677459857975028,-0.297356366926096,0.284218560243967
"CHD2_ENCFF726GBF",0.00396729937174114,-0.316586775362921,0.353815834696371
"RAD21_ENCFF883FUW",0.0794895085291024,-0.197163529680601,0.162475800825603
"YY1_ENCFF376FVJ",0.0468485715189434,-0.362196674222918,0.372997001416651
"RXRA_ENCFF745EBL",-0.00276706700237963,-0.106782377485736,0.122424186312197
"SAP30_ENCFF043HXQ",-0.0270914443269971,-0.261095224411563,0.314614284845493
"MYC_ENCFF049SMR",NA,NA,NA
"JUN_ENCFF821GUI",0.00917894555522922,-0.1136547848734,0.121193032518059
"GTF2F1_ENCFF138MYA",-0.0340485154362838,-0.243176402698094,0.299647227913823
"EZH2_ENCFF414CAB",-0.050485022738952,0.0234890088698364,0.0114629170258786
"ATF3_ENCFF440FTA",0.00461058053205491,-0.229744905225936,0.255460677691595
"CEBPB_ENCFF823KCM",0.0256967014748954,-0.16425812287922,0.165811854337358
"KDM4A_ENCFF021QGZ",-0.0432358417715649,-0.341129147675395,0.41694460843489
"REST_ENCFF738LQB",0.0237415570975089,-0.174755975130551,0.179112182892154
"RBBP5_ENCFF610PCN",-0.0271150884919699,-0.333519703074731,0.39625527041991
"EP300_ENCFF583FUX",-0.00370257172585877,-0.0912519403457045,0.105624159419437
"CHD1_ENCFF580FYL",0.00782184789893993,-0.147031343645188,0.159828543570639
"TCF12_ENCFF959HJP",0.0476993258074958,-0.228317511109226,0.221474376381746
"JUND_ENCFF287KKY",0.0556830457464207,-0.269390709953396,0.261765240882641
"POU5F1_ENCFF383EYO",0.0653258665944311,-0.120168304687483,0.0863440983177907
"HDAC2_ENCFF923TXH",0.0426011061458326,-0.261951681769269,0.263211361320433
"GABPA_ENCFF308NZT",-0.0299812534234741,-0.216288177112154,0.266287679531913
"NRF1_ENCFF414RES",-0.0260102734044582,-0.253921649663021,0.305717173633204
"H3K23me2_ENCFF046LUI",-0.0843972127244636,-0.211646254899998,0.301945251799594
"H3K27ac_ENCFF897KUI",0.0280525397305299,-0.332852430283183,0.35404935769192
"H3K79me2_ENCFF963CTO",-0.0554099325430822,-0.0380110511599714,0.0844748512515055
"H3K56ac_ENCFF515SGL",-0.0743186069188387,-0.308685065202973,0.403735870287245
"BRCA1_ENCFF721TNS",-0.00795521705156859,-0.181283222336986,0.210285957462902
"USF2_ENCFF346KIW",-0.0127616956489311,-0.19336879304102,0.227518203686063
"H3K14ac_ENCFF905ECB",-0.0278111423070897,-0.0672703410423087,0.0967122092419925
"KDM1A_ENCFF759CSN",-0.0178662646793769,-0.141930960997406,0.17338283590058
"H2BK120ac_ENCFF988PKU",-0.0420089043643959,-0.123139808843339,0.170346179351887
"CBX8_ENCFF891TAW",-0.0199364203315436,0.0461636637101554,-0.0370464156742752
"ASH2L_ENCFF693FGQ",0.00314595988882727,-0.398229340648231,0.446445111475036
"H2BK12ac_ENCFF127CIM",-0.0415187936876656,-0.126312025747302,0.17355302677307
"H3K4me1_ENCFF006PXB",-0.104493713104014,0.068063007769556,0.0018105516472437
"SIN3A_ENCFF432EYM",-0.00933923743178354,-0.320350346521783,0.368056179345063
"SP1_ENCFF284JVS",0.0625407560316158,-0.346452551387352,0.343461821455578
"E2F6_ENCFF174AVU",-0.0361432349109932,-0.29247846250827,0.356785222981409
"H2BK20ac_ENCFF964YDY",-0.0431040508903187,0.00188414371382345,0.0302656610533257
"BACH1_ENCFF749UPP",-0.0149211525048501,-0.224906535330285,0.264684253720678
"REST_ENCFF649VNE",0.0315374495836238,-0.14841646722133,0.143569289649631
"CBX5_ENCFF218OXB",0.00418632266391893,-0.00114786260321955,-0.0018520193005172
"H3K4me1_ENCFF711NNX",-0.0889704257647623,0.119381542716312,-0.0676904869963215
"H3K23ac_ENCFF586YGU",-0.0178458594002964,-0.0264397653258904,0.0432075995682016
"H3K27me3_ENCFF974SXB",-0.0752353743461048,0.0659441255123507,-0.0177866541704853
"H3K9ac_ENCFF122DHO",-0.0547819501444561,-0.346543273665031,0.43172233163923
"H3K36me3_ENCFF710ULK",-0.0308147188595232,0.0478935129946375,-0.0308218382318069
"H3K27me3_ENCFF760MIC",-0.0683212742798273,0.0768948147123385,-0.0353235783169679
"H3K4me3_ENCFF458FVI",-0.0310816352322929,-0.306503206100907,0.368787898445446
"H3K36me3_ENCFF238MDY",-0.0427479518663418,0.0678392484999725,-0.0443340780899453
"H3K27me3_ENCFF596UYU",-0.0675877404688997,0.0803203545831242,-0.0397353907877642
"H3K9ac_ENCFF719SGF",-0.053569298737308,-0.369470515245318,0.456650389353717
"EP300_ENCFF244VKF",0.0777449503759936,-0.32486484673021,0.307707541755699
"POLR2A_ENCFF322DAE",-0.0135113570681529,-0.395089137487927,0.455422656067655
"CTCF_ENCFF023LAA",0.0630625908534696,-0.19603214297981,0.173544178715405
"H3K36me3_ENCFF599IHW",-0.0497402671668058,0.067618936584094,-0.0388316400872247
"POLR2AphosphoS5_ENCFF872MKT",-0.0271886030803845,-0.3723222455977,0.440041421434794
"H3K4me2_ENCFF551GTJ",-0.0104428080086311,-0.276271818965706,0.319208414320549
"H3K27ac_ENCFF520LUH",-0.00590600341359653,-0.342962788708648,0.390960871209029
"H3K4me3_ENCFF760ZNE",-0.0586696073425462,-0.313363760241021,0.397249890432732
