"","BCL11A_ENCFF262EKX","SIX5_ENCFF384KWP","H3K4ac_ENCFF850UDK","NANOG_ENCFF435DTC","H2BK15ac_ENCFF338DRF","H4K5ac_ENCFF321WUL","RFX5_ENCFF142NQQ","CHD1_ENCFF720XKL","ATF2_ENCFF352KLD","KDM5A_ENCFF471OCM","MAX_ENCFF460LNS","FOSL1_ENCFF428RHR","SP2_ENCFF590EPN","H3K79me1_ENCFF643SGX","PHF8_ENCFF467WAD","CHD7_ENCFF338IDU","SIN3A_ENCFF156JCN","H4K91ac_ENCFF791RRR","MYC_ENCFF270GMO","BCL11A_ENCFF847HXU","SUZ12_ENCFF233GVJ","TAF1_ENCFF886BPR","HDAC6_ENCFF802HUU","CTBP2_ENCFF501VJW","MXI1_ENCFF727RNJ","SIRT6_ENCFF219XEX","TEAD4_ENCFF885PQR","EGR1_ENCFF100KKH","CREB1_ENCFF978KGB","TBP_ENCFF817TGF","H3K9me3_ENCFF378HMV","H2BK5ac_ENCFF906FRY","CTCF_ENCFF692RPA","SUZ12_ENCFF225AMM","RAD21_ENCFF275AVS","SRF_ENCFF648QJE","JUND_ENCFF443FKS","HDAC2_ENCFF486IQC","MAFK_ENCFF710YJK","H2AK5ac_ENCFF196WHY","H3K9me3_ENCFF038EDU","H4K20me1_ENCFF550YPD","USF1_ENCFF978MNS","SP4_ENCFF257FUV","ZNF143_ENCFF235ROG","CHD2_ENCFF726GBF","RAD21_ENCFF883FUW","YY1_ENCFF376FVJ","RXRA_ENCFF745EBL","SAP30_ENCFF043HXQ","MYC_ENCFF049SMR","JUN_ENCFF821GUI","GTF2F1_ENCFF138MYA","EZH2_ENCFF414CAB","ATF3_ENCFF440FTA","CEBPB_ENCFF823KCM","KDM4A_ENCFF021QGZ","REST_ENCFF738LQB","RBBP5_ENCFF610PCN","EP300_ENCFF583FUX","CHD1_ENCFF580FYL","TCF12_ENCFF959HJP","JUND_ENCFF287KKY","POU5F1_ENCFF383EYO","HDAC2_ENCFF923TXH","GABPA_ENCFF308NZT","NRF1_ENCFF414RES","H3K23me2_ENCFF046LUI","H3K27ac_ENCFF897KUI","H3K79me2_ENCFF963CTO","H3K56ac_ENCFF515SGL","BRCA1_ENCFF721TNS","USF2_ENCFF346KIW","H3K14ac_ENCFF905ECB","KDM1A_ENCFF759CSN","H2BK120ac_ENCFF988PKU","CBX8_ENCFF891TAW","ASH2L_ENCFF693FGQ","H2BK12ac_ENCFF127CIM","H3K4me1_ENCFF006PXB","SIN3A_ENCFF432EYM","SP1_ENCFF284JVS","E2F6_ENCFF174AVU","H2BK20ac_ENCFF964YDY","BACH1_ENCFF749UPP","REST_ENCFF649VNE","CBX5_ENCFF218OXB","H3K4me1_ENCFF711NNX","H3K23ac_ENCFF586YGU","H3K27me3_ENCFF974SXB","H3K9ac_ENCFF122DHO","H3K36me3_ENCFF710ULK","H3K27me3_ENCFF760MIC","H3K4me3_ENCFF458FVI","H3K36me3_ENCFF238MDY","H3K27me3_ENCFF596UYU","H3K9ac_ENCFF719SGF","EP300_ENCFF244VKF","POLR2A_ENCFF322DAE","CTCF_ENCFF023LAA","H3K36me3_ENCFF599IHW","POLR2AphosphoS5_ENCFF872MKT","H3K4me2_ENCFF551GTJ","H3K27ac_ENCFF520LUH","H3K4me3_ENCFF760ZNE"
"BCL11A_ENCFF262EKX",1,0.00089841493117451,0.0287925854575145,0.273759515645456,-0.010880657521801,0.0126644003862126,0.0178396088866475,0.014802805541857,0.175716968682091,-0.0178811225175994,0.0254871097294832,0.00269466096605839,-0.010578609186029,-0.0131898631113651,-0.0280845159533315,0.287316954831872,0.017254002149988,0.0208321722607826,0.0147826935523833,0.516743689900472,-0.0171579898666087,0.0271362849710679,0.135248338468272,0.0868552233486949,0.0116277409984181,0.0364801902247889,0.165189018918736,0.0852719382339938,0.029664774444932,0.026319925032555,-0.012338087674017,0.0280816385232523,-0.0325351669690275,-0.00461532955410327,0.0362185631734837,0.02910638422153,0.146356190323565,0.0901303415050294,0.0670045392275606,0.0550300336814852,-0.00656054013746354,-0.00788506288653638,0.030990561613418,0.0402441346805405,-0.00326619521606745,0.0941991233130528,0.00446157113900458,0.0849146102840416,0.144279992407508,-0.00733806015061215,NA,0.112259159976241,0.0173259212279371,-0.0132120525201786,0.00507835650281005,0.0791222112697589,-0.0383974562312718,0.0566861064255529,0.02193364582252,0.0967055361332225,0.00868960029472713,0.222685853288866,0.0992164091268876,0.315262790735672,0.209922889511535,-0.00950124681351658,-0.0102533333862265,-0.0192371846679594,0.0763266172657365,-0.0121513980644445,0.0169867756706309,0.000992561429922107,0.00493561473914676,0.0171893861209592,0.0604491080218181,0.0644325895793116,-0.00804971173710541,0.0523944724706789,0.0461183577751397,0.023194178169369,0.0392925297975148,0.179054704898274,-0.00382517561682652,0.0505037989969504,0.0159103476408721,-0.00746942414289777,-0.0018758932853802,0.0120373939134618,0.00483774651289763,-0.00908727613491277,-0.00994600548931308,-0.00337545873201017,0.00672571094007417,0.0217021865454281,-0.00698051606328512,0.00758732165726823,-0.00398767741236775,0.238055742670257,0.0242336410829308,-0.0316449592877871,0.00346235496522725,0.0564127728255034,0.032665296956875,0.0558476093384141,-0.0238117950669614
"SIX5_ENCFF384KWP",0.00089841493117451,1,0.0925712085858176,0.0649860860601063,0.0457856688835107,0.187205027593164,0.0440324631624565,0.118361393915749,0.144372584164705,0.273667882057317,0.173613267144067,0.0570920218130033,0.100568109092331,0.0335576992957186,0.274843142958271,0.0123512042208105,0.226904744068163,0.101915538224682,0.183924157284907,-0.00307551466000056,-0.0379129768328001,0.246971464265912,0.0108287665476651,0.047191690955599,0.192612463003121,0.0270687388444241,0.0945090412661903,0.157196943259609,0.268997307941454,0.250641006471573,-0.00587293254025085,0.170223085899676,-0.00777623009586275,-0.0197861695834585,-0.0023654064975044,0.222250116545739,0.177095508752948,0.167160480317439,0.0381233746132763,0.0267496188091803,-0.00981142231260995,-0.0141036769883463,0.168177222096057,0.207697122909289,0.2466991710483,0.255586213158609,-0.0113963541750423,0.196364954485102,0.0321129682759905,0.233862004618893,NA,0.0662966827918436,0.159256657710756,-0.040398319150319,0.221766155010504,0.077248160858588,0.205800213039118,0.0866640658973578,0.162007498561477,0.041246227094829,0.178639790003314,0.0944411510467077,0.160473945533985,0.0149902477970641,0.0840655096330647,0.179656263118046,0.163175200978147,0.135674307395327,0.178140622467704,0.0672072785213489,0.200163633022579,0.185233962338804,0.141634660029501,0.0367626531126924,0.0518826240606961,0.055383438090063,-0.0147288531772922,0.19514063581744,0.0672886975787669,-0.0410776454938252,0.227571359070006,0.223199968277218,0.139281073538319,-0.0140368863906414,0.0971175854287599,0.0823905017518676,-0.00373659781929706,-0.0603862201916023,9.20938767460286e-05,-0.0608784819834974,0.252254065423791,-0.00293098733931558,-0.0599310861579303,0.160337103752539,-0.0163603507834356,-0.0556153685778391,0.240034456502992,0.154710655368107,0.236225759916574,0.00647367624844088,-0.0106112561817481,0.240609769474914,0.134730754964856,0.229188484028786,0.185722002222903
"H3K4ac_ENCFF850UDK",0.0287925854575145,0.0925712085858176,1,0.0967440852238731,0.275849444879825,0.463783926832233,0.0667204215608598,0.232253754088712,0.145988272052062,0.152492536815294,0.229395603423636,0.069361788068691,0.0992599393516469,0.0753096992031985,0.285049400670154,0.0453037832858028,0.215249811012375,0.459851143353347,0.205238097064621,0.0217926888158865,-0.0170783729828497,0.30399590379797,0.00889936792346302,0.102582416890869,0.15423339425068,0.041901305859176,0.114857149026892,0.16741362454895,0.199487860266676,0.271818696744434,-0.0388396973626612,0.387737773258962,-0.0113482663897019,-0.0321340817712935,0.0270068449360172,0.112412851592661,0.205119903898729,0.180005958612338,0.069702896143439,0.329891514571943,-0.020063740305745,0.0205463702627449,0.162296561268819,0.186055540451145,0.071573547115254,0.186791794094291,-0.00714136738948955,0.173967969077818,0.0618364868602811,0.18196501397271,NA,0.0733335784918799,0.196927184128585,-0.0268837340891465,0.118440491618021,0.0850296634904732,0.205267230401884,0.100300645624299,0.232377322794189,0.0656452277838533,0.142443440331294,0.112060755223286,0.127567588920063,0.0447026972293193,0.13074968811369,0.121679685912323,0.162918771495942,0.249901747591118,0.384348322536626,0.125082547542637,0.439829582644245,0.0968692956846944,0.140883801212834,0.188907507159736,0.110667289468232,0.426240178252326,-0.0279363879925973,0.256173430481899,0.33678791526101,0.192252163334487,0.194364507327287,0.20917104275203,0.215512248560242,0.261567800756974,0.165232683451491,0.0564291317924036,-0.00807996974734631,0.153862937923523,0.0987755309878345,-0.0502528887257703,0.331788185231638,-0.0106812958244598,-0.0610151009085603,0.24095405343439,-0.0181855422311846,-0.0632449103123674,0.345979727467503,0.173205738045413,0.308489924086558,0.00422851454056941,0.00408309822353672,0.288743470665489,0.240600570777588,0.387602295130802,0.257317238833154
"NANOG_ENCFF435DTC",0.273759515645456,0.0649860860601063,0.0967440852238731,1,0.0157004182358278,0.0949595889126234,0.0483353335896095,0.0706070753033896,0.206939445611617,0.0564732994822719,0.128617127409151,0.0600052167568645,0.0466374059609978,-0.0234199795210468,0.0552089153193957,0.313185617195327,0.127303152837885,0.0930069562114449,0.109964112737056,0.286206110068412,-0.0235271867455457,0.13427106994231,0.0736853895925606,0.166499034753803,0.0902443955982029,0.0296181421695438,0.237704356782909,0.172144398294389,0.142932721709415,0.133009451368686,-0.0230325919373574,0.102726826954967,0.0297801820364547,-0.0103337157007262,0.109809073440814,0.118195494704517,0.225726646644072,0.157184634062687,0.0973424186578411,0.0959030306539367,-0.0122385826930024,-0.0202888623720011,0.107254283685319,0.116131728969306,0.0817966487071849,0.157280422290914,0.0644214699922726,0.208893583402104,0.194362755334098,0.0643854887058377,NA,0.136067199316599,0.102416287665872,-0.0183231671623677,0.0765749239576193,0.128966040251456,0.0313823422337446,0.0895930762909673,0.0982071449443842,0.089402847865475,0.0480316721293519,0.326942851938024,0.159737876203599,0.35613921823926,0.291191738418677,0.0647793459378552,0.0431800791220149,0.0432550820873859,0.189703748832279,0.000695778975097045,0.0968757856324389,0.0464506074225605,0.0690338775967865,0.0305195789958452,0.116753784225655,0.140347053930586,-0.0153381146219499,0.147141471105686,0.106652592615444,0.0500019649135274,0.123012972749241,0.305270362974245,0.0758621419357187,0.0954419596624774,0.0884985157138699,0.0212030804223739,-0.0014704272494398,0.028274047971026,0.0221603507978785,-0.0202990907176219,0.061778467916996,-0.0157334594826607,-0.00848988090063551,0.0963889452371207,-0.028786622419605,0.0026647562494272,0.0726624833154814,0.355507013932608,0.114529432723922,0.0350575464214605,-0.0248771506790864,0.141415288353834,0.128350454459025,0.143189609351253,0.0525720674474363
"H2BK15ac_ENCFF338DRF",-0.010880657521801,0.0457856688835107,0.275849444879825,0.0157004182358278,1,0.228931632927941,0.0317295159472183,0.0567715496731807,0.0506143670258257,0.0362710543900646,0.144465262245879,0.0234820493063944,0.0225762846506847,0.0584669742713456,0.103183400518908,-0.0313260380178108,0.108503025647468,0.345359789764113,0.0927306793797913,-0.0266913815598896,0.0292554693395088,0.128191134131982,-0.00198917740551661,0.0762874580357273,0.0653761105704547,0.0011460366688598,0.0610786825068784,0.0749729868125178,0.102305646081133,0.105254107626075,-0.0323124450808495,0.242721193141394,0.0549483934711338,0.00364977532665034,0.0574044373226944,0.0338833105382731,0.0888734684945004,0.0842792513276759,0.0322501366463845,0.271467135587208,-0.0179197969108658,0.0185389329228795,0.0952369428754107,0.0883705208405956,0.0774699071185075,0.0761408240394367,0.0486677941324334,0.0797126838918831,0.0282992757231652,0.0707939023908212,NA,0.0404060857556891,0.0644060909571268,0.0289318995425818,0.0527137556552757,0.0430947994649294,0.105969578400258,0.0342624076917832,0.108643182156814,0.0340272856494734,0.0353794280530079,0.0504185730207977,0.0686071452576629,-0.0179655206306616,0.0498350261755819,0.0809903689154571,0.0541381216457259,0.171698511594773,0.13624395113189,0.0123288978279265,0.175155186338195,0.035724585910588,0.0780119054186902,0.0720638386404581,0.0918855105516198,0.26655621908025,-0.00797233008746513,0.119511658762314,0.314864631443695,0.283213022997351,0.0718455432795562,0.0912896946415582,0.135530473396515,0.331807413139571,0.0893781447897274,0.00729881791864146,-0.00942908139988292,0.243069343672397,0.0468338734611486,0.0509958727890113,0.117608238282274,-0.0296416252218741,0.0306444162462916,0.115563902332139,-0.0496286391472854,0.0259740182211005,0.137661437420591,0.0657547275547202,0.111679603374831,0.0604460265757516,-0.0408597836476532,0.0914547146073682,0.125033081400527,0.128224316627908,0.125070330761063
"H4K5ac_ENCFF321WUL",0.0126644003862126,0.187205027593164,0.463783926832233,0.0949595889126234,0.228931632927941,1,0.0845044003266953,0.284473753914611,0.202528291639986,0.269665886548083,0.327164445398681,0.0955147235969547,0.156320624235514,0.0561087309176907,0.461270960909708,0.0391133626588553,0.324324370137357,0.479792322399847,0.257925846472733,0.00546081680248689,-0.032754613128872,0.458368789498101,0.0130027139017428,0.120770648261825,0.226502066773702,0.0417800715004818,0.149331419178811,0.241135181567971,0.320459797351018,0.419653298923491,-0.0435723815518323,0.453229255073477,0.0136755949689328,-0.0461453163876201,0.0545112292217922,0.18762737304618,0.273455031618469,0.280998861836045,0.0677277838710654,0.232442625526233,-0.0249201376187933,-0.0288703695197945,0.21991210743978,0.272051036268015,0.124965489297533,0.2755267281209,0.0101996310547799,0.25930726070918,0.0560188058910391,0.26442679576861,NA,0.0972963952666414,0.266959081272755,-0.0487410392282126,0.195188226241163,0.1188767049768,0.339056743326325,0.125957933240094,0.360171796982077,0.0847556998906162,0.163416907781851,0.123793473829163,0.169657851442576,0.030706754913362,0.175049607485122,0.190461895297943,0.254184316688255,0.313477956046334,0.508929992683983,0.12364502748124,0.551121032590225,0.15399052720126,0.193438582735099,0.178813704293308,0.141433255435066,0.389915786453205,-0.0388885866700683,0.391886049536039,0.325712964989954,0.129398984462046,0.290715850859613,0.284975944456894,0.298391036273877,0.186949219967384,0.21395540346557,0.0806527729798285,-0.00952734456759209,0.0997896494605872,0.0924664285870423,-0.0968257537384046,0.482842336681162,-0.0190258216518751,-0.106338712489075,0.344130720052305,-0.0368182867522954,-0.110999940395221,0.507958441855573,0.212767611231128,0.462890614429271,0.026034239980379,-0.0203088597086819,0.424146564976592,0.324299293983943,0.507087127214444,0.378966274823708
"RFX5_ENCFF142NQQ",0.0178396088866475,0.0440324631624565,0.0667204215608598,0.0483353335896095,0.0317295159472183,0.0845044003266953,1,0.0749961607878223,0.113699160294469,0.0830390296180229,0.107694331441471,0.0381267751023523,0.080760847984401,-0.000998252328342813,0.115539205732323,0.0257967174359526,0.132216576388407,0.0530985022577649,0.105214352938515,0.00772091802776751,-0.00206028086026481,0.12281852141621,0.00872714107170949,0.0573502900222227,0.133845338587902,0.0220435337613427,0.0697110492418515,0.0997904183993509,0.141205923144671,0.132593102000134,-0.00352093888996349,0.0849309308869862,0.0303070514826831,-0.00336286480996907,0.0492034605123926,0.0807737293717271,0.12856339840824,0.0931369382146288,0.0468477759355237,0.0308945445144537,0.000856534731859803,0.00477696951633888,0.0797193091358388,0.134651328424843,0.0831207457437468,0.15684490422664,0.0464179865091501,0.0998199077872487,0.0600939693752292,0.0984373126855297,NA,0.0781382780520972,0.115706467579043,-0.00550406361637806,0.0685775585282328,0.0633141034062487,0.0925202565466817,0.0659001111790684,0.0851564467756362,0.0490958627042483,0.0505155077864345,0.0635136093948763,0.114318718475202,0.0214960102963032,0.0642731169978228,0.0685834306207922,0.0847572961919754,0.0734686366481573,0.0825465173514844,0.0163695606055074,0.0968267251425862,0.0794654229530344,0.0776219886924936,0.0123053309338466,0.0394336777350739,0.0452688733020883,-0.0086477234600595,0.10225469204384,0.0546516266004828,0.0128305164628065,0.122662936909479,0.156653035135558,0.0886573041245461,0.0083518327033317,0.0744562776411692,0.0376376973715535,-0.00246558118922403,-0.00965757749783527,0.0227433288833283,-0.0104071773558419,0.105008042058969,-0.00621517829083507,-0.0135041993248507,0.0859842026622092,-0.00797653582439814,-0.012291744757013,0.110080377442832,0.110075027358089,0.109684850035641,0.0345178120896132,-0.0060176229457277,0.105083568052779,0.0675259851271855,0.10700704857183,0.0910284944171833
"CHD1_ENCFF720XKL",0.014802805541857,0.118361393915749,0.232253754088712,0.0706070753033896,0.0567715496731807,0.284473753914611,0.0749961607878223,1,0.188673621372676,0.234750744367991,0.212758863925181,0.074346788317759,0.124989220490831,0.0446498066141386,0.355385511561706,0.0728457098866991,0.267081570316993,0.210745129669278,0.193358804280067,0.00506873143864543,0.0809691020372203,0.347964390671659,0.0247213248827425,0.115674329760594,0.174420096449532,0.0963408272816293,0.116844623767414,0.200503784118695,0.231833114739532,0.345790128294698,-0.0318030128091229,0.257882633143335,0.00270605314018962,0.0269061339934829,0.0363070055988633,0.14486110825831,0.211782209864299,0.208056409131594,0.0668428619529289,0.107224313404577,-0.0142211520110652,0.0456244987447889,0.130061743960921,0.2210791207837,0.0714909839070799,0.216488376905857,0.00531957068894357,0.222789805990977,0.0333265722891634,0.259207577742821,NA,0.0630703120165302,0.270352376706095,0.0541731836856334,0.117490142344065,0.106736933446393,0.275112182447632,0.148738441415621,0.288406573282645,0.065341745743798,0.239010093773336,0.0842941414515626,0.127781743850334,0.0326264966930894,0.113283217465648,0.125499344067008,0.188198241752093,0.258318607564447,0.309999702454682,0.189262172947604,0.375173047415376,0.132457573521466,0.126782124990558,0.139189963384118,0.0652719571547364,0.162007004711257,0.0224192523584312,0.293262164518395,0.156063517938254,-0.0281272893174942,0.269700120092305,0.194444080372566,0.208837447331605,0.0102822051158384,0.138643465246244,0.0834033183891876,-0.00588246283982674,-0.0646858831456534,0.0851858269403663,-0.00391451329533407,0.401259366718439,0.0247587094483537,0.00496439551970596,0.284908883381685,0.0244019820751763,-0.0190018962661412,0.385719245202445,0.148642555825649,0.35210041899843,0.0116915166869919,0.0382171540078331,0.353819804032624,0.237391500114015,0.358325417217419,0.318403822113432
"ATF2_ENCFF352KLD",0.175716968682091,0.144372584164705,0.145988272052062,0.206939445611617,0.0506143670258257,0.202528291639986,0.113699160294469,0.188673621372676,1,0.194192879346794,0.218841248708918,0.0811416226927325,0.104154464723425,0.00292285316130573,0.20794201448843,0.205250502868398,0.24596383153874,0.1448021539415,0.208140530695356,0.168546185782712,-0.0338395232041264,0.259962111836092,0.0832456312427163,0.135194708638042,0.201494743843535,0.107181368979388,0.25963689421394,0.210355255334004,0.303524762857971,0.268634819772936,-0.024560648633103,0.211203329047448,0.0692564834242964,-0.0233276372735764,0.117502476119578,0.19223664442651,0.325773892855188,0.217985216553158,0.150071486949699,0.10450420009827,-0.0126085000969885,0.00939885695594756,0.169208922426048,0.283758520586129,0.16532797085862,0.274193089066558,0.0914627941059642,0.250893540636773,0.150621509527403,0.183238527807691,NA,0.245740300199286,0.234360009025953,-0.0412923173259807,0.180800550175687,0.199046972171446,0.136482608108506,0.153549419553523,0.188986927248702,0.108921386873138,0.139052183299125,0.234658426607814,0.316401930077401,0.190034320250886,0.230434599543741,0.126397158006442,0.153480851091813,0.11983488592888,0.243157698215483,0.0596057692518685,0.2211600419423,0.179876830399641,0.152572971232119,0.0746822695066209,0.134848930916903,0.141404803729753,-0.0212703653944641,0.230580883745547,0.14229574890954,0.0163048947752605,0.237298484217256,0.315805132151798,0.162201932474781,0.0612417419511484,0.160559636096571,0.112246062648539,0.00171524442513135,-0.0203569400619805,0.0406686421588891,-0.0605092521350615,0.218347448965111,0.02087432844764,-0.0573097037721044,0.160355537319361,0.012529540111664,-0.048705885166145,0.225672358957354,0.29518962575922,0.267711762413362,0.0713722467061448,0.0265978807762502,0.295316100218259,0.147675827377175,0.284279998941303,0.157640334572476
"KDM5A_ENCFF471OCM",-0.0178811225175994,0.273667882057317,0.152492536815294,0.0564732994822719,0.0362710543900646,0.269665886548083,0.0830390296180229,0.234750744367991,0.194192879346794,1,0.221121395245359,0.0917648664847704,0.186784781401544,0.0670414632173931,0.372545075396769,-0.00106573329346621,0.301436644868645,0.150068374622562,0.246810081254343,-0.0209837412588452,-0.049227224372677,0.327272285872753,0.00681443250281677,0.0348599633270583,0.281966307170724,0.0310991915339672,0.102119563029284,0.196893962193709,0.317421548520093,0.343730918076712,-0.0229233871224694,0.24729415995921,0.0349827408182772,-0.0194649854489331,0.0354018011960571,0.342560679720548,0.214116845642556,0.250749173559692,0.0349678657133195,0.0395009112014754,-0.013587742908844,0.00415512444555052,0.1750128755948,0.285872068334476,0.161827664738404,0.286955937225161,0.023258037321308,0.271808827163617,0.0370494640546673,0.306899630428449,NA,0.0775341404759552,0.283272082235937,-0.0502114478167578,0.281510671808584,0.104019525296598,0.279475894436075,0.125477109611365,0.264305106758314,0.0724400768557827,0.123724743345752,0.0748634768681231,0.171107075426471,-0.00152184300641785,0.0945380379167873,0.256646929375537,0.217654449059628,0.182809299088232,0.234133117601609,0.167109120716577,0.316399166302989,0.219280045670061,0.173417756882343,0.0636830663634216,0.0417980844656341,0.0568995634973766,-0.0173318945104626,0.273421047188283,0.0788112828521604,-0.0664636304792622,0.309047968931595,0.242158345602814,0.191894258772202,-0.0412765137411931,0.123318041822439,0.0969969783732832,-0.00429409268342131,-0.0932798024407384,0.0241419250117259,-0.0764897757815257,0.353376424426522,-0.0116355947777888,-0.0739882438864953,0.206533719049231,-0.0194537255798095,-0.0637018851866851,0.335420219392257,0.162665563089449,0.333250697986283,0.0491253356107646,-0.0175221988195721,0.348663526032135,0.16747616622749,0.335172564324835,0.24520679737568
