"","seqnames","start","end","width","strand","peakID"
"1","chr1",778115,779802,1688,"*","Peak_1_Both_DC1_DC2"
"2","chr1",826943,827583,641,"*","Peak_2_Both_DC1_DC2"
"3","chr1",913000,913347,348,"*","Peak_3_DC2_only"
"4","chr1",919902,920272,371,"*","Peak_4_DC2_only"
"5","chr1",920813,921176,364,"*","Peak_5_DC2_only"
"6","chr1",921922,922219,298,"*","Peak_6_DC2_only"
"7","chr1",935825,936636,812,"*","Peak_7_DC2_only"
"8","chr1",941425,941790,366,"*","Peak_8_DC2_only"
"9","chr1",942804,943441,638,"*","Peak_9_DC2_only"
"10","chr1",943728,945128,1401,"*","Peak_10_DC2_only"
"11","chr1",959036,959702,667,"*","Peak_11_Both_DC1_DC2"
"12","chr1",966252,966932,681,"*","Peak_12_DC2_only"
"13","chr1",1000627,1001113,487,"*","Peak_13_DC2_only"
"14","chr1",1001670,1002106,437,"*","Peak_14_DC2_only"
"15","chr1",1013257,1013619,363,"*","Peak_15_DC2_only"
"16","chr1",1018935,1019279,345,"*","Peak_16_DC2_only"
"17","chr1",1020954,1021285,332,"*","Peak_17_DC2_only"
"18","chr1",1027810,1028076,267,"*","Peak_18_DC2_only"
"19","chr1",1032170,1033158,989,"*","Peak_19_Both_DC1_DC2"
"20","chr1",1058876,1059294,419,"*","Peak_20_DC2_only"
"21","chr1",1059802,1060582,781,"*","Peak_21_DC2_only"
"22","chr1",1063738,1064349,612,"*","Peak_22_DC2_only"
"23","chr1",1069585,1069891,307,"*","Peak_23_DC2_only"
"24","chr1",1080049,1080535,487,"*","Peak_24_DC1_only"
"25","chr1",1115921,1116516,596,"*","Peak_25_DC1_only"
"26","chr1",1136558,1137077,520,"*","Peak_26_DC1_only"
"27","chr1",1142029,1142712,684,"*","Peak_27_DC2_only"
"28","chr1",1157598,1158670,1073,"*","Peak_28_DC2_only"
"29","chr1",1165823,1166102,280,"*","Peak_29_DC2_only"
"30","chr1",1200579,1200916,338,"*","Peak_30_DC2_only"
"31","chr1",1230461,1231102,642,"*","Peak_31_DC2_only"
"32","chr1",1231594,1231929,336,"*","Peak_32_DC2_only"
"33","chr1",1234206,1234529,324,"*","Peak_33_DC2_only"
"34","chr1",1237094,1237824,731,"*","Peak_34_DC1_only"
"35","chr1",1250079,1250724,646,"*","Peak_35_DC2_only"
"36","chr1",1258680,1259174,495,"*","Peak_36_DC2_only"
"37","chr1",1273142,1273416,275,"*","Peak_37_DC2_only"
